PLAST/Statistical parameters estimated from 1 million random DNA queries for each graph
PLAST/graph name	ungapped lambda	ungapped C	gapped lambda	gapped C
PLAST/graphs/Typh_c100_sub0.gfa	0.99540273	18.3234758	0.27154731	3.75232975
PLAST/graphs/Typh_c100_sub1.gfa	1.01469052	18.84755	0.27650254	4.01658902
PLAST/graphs/Typh_c100_sub2.gfa	1.07095136	20.36631252	0.26853345	3.73304516
PLAST/graphs/Typh_c100_sub3.gfa	1.03272765	19.16081266	0.27898395	3.98270419
PLAST/graphs/Typh_c100_sub4.gfa	1.03362313	19.1814183	0.2880536	4.24583002
PLAST/graphs/Typh_c200_sub0.gfa	1.05350915	20.07604441	0.25715383	3.51667454
PLAST/graphs/Typh_c200_sub1.gfa	1.01575359	18.9884062	0.25711966	3.30678276
PLAST/graphs/Typh_c200_sub2.gfa	0.98959247	18.31246646	0.25996367	3.49275245
PLAST/graphs/Typh_c200_sub3.gfa	1.01778743	19.10489666	0.26597003	3.73135555
PLAST/graphs/Typh_c200_sub4.gfa	1.04416524	19.85061679	0.24772453	3.18743389
PLAST/graphs/Typh_c25_sub0.gfa	1.02886162	18.75288837	0.29653749	4.31589961
PLAST/graphs/Typh_c25_sub1.gfa	1.01082535	18.59872628	0.28524923	4.14510937
PLAST/graphs/Typh_c25_sub2.gfa	1.05465347	19.3821594	0.28945168	4.04188275
PLAST/graphs/Typh_c25_sub3.gfa	1.01322238	18.5267555	0.28387217	3.89801245
PLAST/graphs/Typh_c25_sub4.gfa	1.01843497	18.52633149	0.3046685	4.61050184
PLAST/graphs/Typh_c300_sub0.gfa	0.99598006	18.80870702	0.24883846	3.38707798
PLAST/graphs/Typh_c300_sub1.gfa	1.03061152	19.69632382	0.25194116	3.48114024
PLAST/graphs/Typh_c300_sub2.gfa	1.0249407	19.63645956	0.24428297	3.28865822
PLAST/graphs/Typh_c300_sub3.gfa	1.03851091	19.92894714	0.24708627	3.3751572
PLAST/graphs/Typh_c300_sub4.gfa	1.00276764	18.9192097	0.25759481	3.61691205
PLAST/graphs/Typh_c400_sub0.gfa	1.02265258	19.355019	0.2480596	3.17302302
PLAST/graphs/Typh_c400_sub1.gfa	1.02246652	19.51249265	0.25505112	3.7086764
PLAST/graphs/Typh_c400_sub2.gfa	1.02275466	19.44170383	0.25593988	3.60514756
PLAST/graphs/Typh_c400_sub3.gfa	0.99177414	18.69887794	0.25932222	3.68128047
PLAST/graphs/Typh_c400_sub4.gfa	1.02214264	19.39104917	0.2480596	3.17302302
PLAST/graphs/Typh_c500_sub0.gfa	1.00927992	19.2517426	0.24144909	3.17391761
PLAST/graphs/Typh_c500_sub1.gfa	1.00346385	19.06264379	0.25350647	3.58643769
PLAST/graphs/Typh_c500_sub2.gfa	1.04905041	20.32865981	0.25724307	3.83259006
PLAST/graphs/Typh_c500_sub3.gfa	1.04137149	20.05729787	0.24189699	3.16761413
PLAST/graphs/Typh_c500_sub4.gfa	1.03265825	19.82181584	0.2523168	3.52438536
PLAST/graphs/Typh_c1250.gfa	1.07199003	21.32432663	0.24946234	3.82342258
PLAST/graphs/Typh_c2500.gfa	1.02491219	20.43791513	0.24650917	4.04892004
PLAST/graphs/Typh_c3750.gfa	0.96881043	19.12562573	0.24924757	4.2888977
PLAST/graphs/Typh_c5000.gfa	0.9910023	19.83737423	0.23762278	3.8795675
